artists,title,type,year,browseId
"Shpongle, Simon Posford",Flux & Contemplation - Portrait of an Artist in Isolation,Album,2020,MPREb_WsV6CyjKVlo
"Chicago Symphony Orchestra, Sir Georg Solti, Vladimir Ashkenazy",Beethoven: Piano Concertos,Album,1973,MPREb_Wee5IHswmTY
Various Artist,Hard Luck And Misery,Album,2021,MPREb_WVVSTwZTKec
Shpongle,"Nothing Lasts...but Nothing Is Lost (Remastered, 2019)",Album,2005,MPREb_PIu7DX0Ct0h
Mississippi John Hurt,"D.C. Blues - The Library of Congress Recordings, Vol. 2",Album,2000,MPREb_OkISYLBv8I0
The Beatles,Love,Album,2006,MPREb_QXijY09EdMj
Various Artists,Uncle Art Satherley: Country Music's Founding Father,Album,1991,MPREb_kOrKLBMWJ2w
Autechre,SIGN,Album,2020,MPREb_stHsEGGtzit
Various Artists,"Traditional Music from Grayson and Carroll Counties, Virginia: Songs, Tunes with Fiddle, Banjo and Band",Album,1962,MPREb_gbM66feIfpK
Jerry Garcia Band,"Let it Rock: The Jerry Garcia Collection, Volume 2 (feat. Jerry Garcia Band)",Album,2009,MPREb_9hvdzMG57di
Country Gentlemen,The Early Rebel Recordings: 1962-1971,Album,2005,MPREb_75Y86zetzFt
Restless Leg String Band,Seasonal Progression,Album,2021,MPREb_0pnjpPPpslm
Master Margherita,Selections by Master Margherita,Album,2016,MPREb_GmLTKgrJlTX
Master Margherita,Sonic Ink,EP,2019,MPREb_spl5bUDpgu3
Master Margherita,Border 50,Album,2018,MPREb_3Vb7rrbdugB
Barcelona Gipsy balKan Orchestra,Nova Era,Album,2020,MPREb_0pZuXmLXpo2
Opa Tsupa,Bastringue,Album,2005,MPREb_2p9q1lG2QRj
Various Artists,The Village Out West: The Lost Tapes of Alan Oakes,Album,2021,MPREb_QV0Ewp0OtBM
"Timothy Cummings, Brad Kolodner, & Pete Sutherland",The Birds' Flight,Album,2021,MPREb_SjsutnM9LpE
Pokey LaFarge,In the Blossom of Their Shade,Album,2021,MPREb_uvSclzJ0wKz
Entheogenic,Dreamtime Physics,Album,2017,MPREb_YYMuxkL1eN3
Younger Brother,A Flock of Bleeps,Album,2003,MPREb_tq5v4Xw3ex1
Celtic Cross,Hicksville,Album,1998,MPREb_DNCbycVr573
Country Gentlemen,Can't You Hear Me Callin',Album,2005,MPREb_A9SmIKnU3rE
"David Grisman, Tony Rice",Tone Poems,Album,1994,MPREb_f43pYG92ODf
"Andy Statman, David Grisman",New Shabbos Waltz,Album,2006,MPREb_JE5qnK3HTFO
Cafe Accordion Orchestra,Le Disque Francais,Album,2004,MPREb_9r9nTRkGfry
Goran Bregović,Champagne For Gypsies,Album,2012,MPREb_ucoK0VMjAFW
Gogol Bordello,Super Taranta!,Album,2007,MPREb_fCbNI3QLIFv
The Byrds,(Untitled) /(Unissued),Album,1970,MPREb_N866QU7r1dk
The Kinks,Something Else (Deluxe Edition),Album,1967,MPREb_f8Exd7ocRlw
Billy Strings,Renewal,Album,2021,MPREb_9eJM6r0TnUy
Ken & Brad Kolodner,Stony Run,Album,2020,MPREb_986XIMThUSz
Sturgill Simpson,The Ballad of Dood & Juanita,Album,2021,MPREb_3357BW8tl5h
Brad Kolodner,Chimney Swifts,Album,2021,MPREb_hV33x9w4tLG
Béla Fleck,My Bluegrass Heart,Album,2021,MPREb_wqzwvXxj2Hy
Michael Franks,Burchfield Nines,Album,1978,MPREb_LS3IDjJ17eJ
Little People,THREAD,EP,2021,MPREb_1p2Px4txAlX
"Thomas Enhco, Vassilena Serafimova",Bach Mirror,Album,2021,MPREb_XlvuVIMxifC
Marty Robbins,Gunfighter Ballads And Trail Songs,Album,1959,MPREb_BulkEIpIn7k
Marty Robbins,The Drifter,Album,1966,MPREb_jfIUVZvlqyW
The Chicken Chokers,07,Album,2007,MPREb_WXEgKurbthw
The Byrds,Sweetheart Of The Rodeo,Album,1968,MPREb_jBeLKnXNttQ
Bonobo,One Offs (Remixes & B Sides),Album,2002,MPREb_I72KE4lpUE1
Byron Berline,Jammin' with Byron,Album,2016,MPREb_j2bgbGXTt3Q
Mary Gauthier,The Foundling,Album,2010,MPREb_Szi01KpOx2s
Various Artists,Jazz Dispensary: Orange Sunset,Album,2020,MPREb_hBUa1ELPy8F
Jake Eddy,Jake Eddy,Album,2021,MPREb_197jK3ppb97
Sierra Ferrell,Bells Of Every Chapel (feat. Billy Strings),Single,2021,MPREb_ChvEARm7vxB
Can,Monster Movie (Remastered Version),Album,1969,MPREb_XlCOjgMss0h
The Holy Modal Rounders,Moray Eels Eat The Holy Modal Rounders,Album,1968,MPREb_YyKulUskxIG
Santana,Lotus,Album,1974,MPREb_WSlpr5yY8AD
The Who,Live At Leeds (2010 Super Deluxe Edition),Album,1970,MPREb_slsUFeT530c
Matt Heckler,After the Flood,Album,2019,MPREb_EOaogKqJTlT
Ween,12 Golden Country Greats,Album,1996,MPREb_5pLdTduoVYe
Stan Rogers,Fogarty's Cove,Album,1976,MPREb_0WUHswyXJYG
Various Artists,"Ghana Special: Modern Highlife, Afro Sounds & Ghanaian Blues 1968-81",Album,2010,MPREb_0uhbRUDqHJL
Karl Hector & The Malcouns,Unstraight Ahead,Album,2014,MPREb_alHoOlZ6LqS
The Jim Kweskin Jug Band,Jim Kweskin And The Jug Band,Album,1963,MPREb_GHlscITdlZr
Ian & Sylvia,Four Strong Winds,Album,1964,MPREb_JVQcnpchq4P
John Sebastian,Tarzana Kid,Album,2009,MPREb_pbNi8fI00iC
Chris Thile,Laysongs,Album,2021,MPREb_sOpjOzhS0VK
Tim O'Brien,He Walked On,Album,2021,MPREb_r9esFRRK6Ik
Kikagaku Moyo,House in the Tall Grass,Album,2016,MPREb_m8BZBND5riT
Ethel Waters,Down Home Blues (Original Recordings 1920 - 1921),Album,2014,MPREb_F2f3QRCrtmK
Kikagaku Moyo,Kikagaku Moyo,EP,2013,MPREb_DAljCoRibV8
Kikagaku Moyo,Gypsy Davey,Single,2020,MPREb_PT7sC2ZOGCy
Kikagaku Moyo,Masana Temples,Album,2018,MPREb_qHmn3fj2OVy
"Camerata Salzburg, Hélène Grimaud",The Messenger,Album,2020,MPREb_dygQ5OiD2XD
The Rice Brothers,The Rice Brothers,Album,1989,MPREb_3PXKPzAbQPj
Jerry Garcia Acoustic Band,Almost Acoustic (feat. Jerry Garcia Acoustic Band),Album,1988,MPREb_kwVQIRGtdYQ
Jerry Garcia Acoustic Band,Ragged But Right,Album,2010,MPREb_ArjEnopUf5N
Daft Punk,Discovery,Album,2001,MPREb_7ltM34kr0mH
"John Hartford, Tony Rice, Vassar Clements",Hartford Rice and Clements,Album,2011,MPREb_WJlgl1UF78f
Can,LIVE IN STUTTGART 1975,Album,2021,MPREb_wRSsf0Nn8sD
Nils Frahm,Graz,Album,2021,MPREb_bu5GW6ByMbr
Nils Frahm,All Melody,Album,2018,MPREb_1qye8mQerrK
Beaux Arts Trio,"Mozart: Quintets, Quartets, Trios etc (Complete Mozart Edition)",Album,2005,MPREb_2uJfatGDAoj
Foghorn Stringband,Outshine the Sun,Album,2012,MPREb_XATRxRhRAw1
Foghorn Stringband,Rattlesnake Tidal Wave,Album,2002,MPREb_zf7F09MWKAN
Useful Jenkins,Festival Express,Album,2012,MPREb_9O2YnXcVrAk
Tejon Street Corner Thieves,Stolen Goods,Album,2021,MPREb_pvPp3sIER6N
The Reverend Peyton's Big Damn Band,Dance Songs for Hard Times,Album,2021,MPREb_WkVBTHPoFw3
Pokey LaFarge,Rock Bottom Rhapsody,Album,2020,MPREb_JT6lwHUHQul
Studio Group,Jungle Porn Soundtrack,Single,2006,MPREb_7FTPU5d5aq5
A Winged Victory for the Sullen,Invisible Cities,Album,2021,MPREb_t0DsBYiOm2K
A Winged Victory for the Sullen,A Winged Victory for the Sullen,Album,2011,MPREb_psr8s8mAZDV
Stars of the Lid,The Ballasted Orchestra,Album,1996,MPREb_L3dNDv0DZki
"Jon McCafferty, Stars of the Lid",Per Aspera Ad Astra,Album,1997,MPREb_TGt5SQRdI6j
From the Mouth of the Sun,Sleep Stations EP,EP,2018,MPREb_SIXRs7hxslm
Stars of the Lid,Gravitational Pull vs. The Desire for an Aquatic Life,Album,1996,MPREb_l0XcOCuSrMI
Stars of the Lid,Music for Nitrous Oxide,Album,1995,MPREb_bnyvgCXj9oc
Stars of the Lid,And Their Refinement of the Decline,Album,2007,MPREb_MuYPqTSGEVB
loscil,coast/range/arc//,Album,2011,MPREb_xFnlYHUoJLV
Fela Kuti,Roforofo Fight,Album,1972,MPREb_bNVy6Axa3tT
The City Champs,The Safecracker,Album,2009,MPREb_XhgpKjpOvvB
El Búho,Camino de Flores,Album,2018,MPREb_X4x8MChCq9E
Bluetech,The 4 Horsemen of the Electrocalypse,Album,2019,MPREb_GhwPOc3IUtw
Loscil,Coast / Range / Arc,EP,2011,MPREb_5B37dUdin89
loscil,Endless Falls,Album,2010,MPREb_5petiP3xRKC
loscil,First Narrows,Album,2004,MPREb_aPJyqnC7DtO
loscil,Sea Island,Album,2014,MPREb_Dvfwoj5D6ZF
loscil,Sketches from New Brighton,Album,2012,MPREb_PnWf0JnOOSi
Loscil,"Faults, Coasts, Lines",Album,2020,MPREb_t4aMAWxPHgb
loscil,Submers,Album,2002,MPREb_2KPZeQbArJb
Doc & Merle Watson,Down South,Album,1984,MPREb_iN4fwlL4FSq
White Rainbow,Prism of Eternal Now,Album,2007,MPREb_p8dsUqNp4Br
"Leo Kottke, Mike Gordon",Clone,Album,2002,MPREb_aWjICCBVsCs
"Dahlak Band, Hailu Mergia",Wede Harer Guzo,Album,2016,MPREb_rDqEYbc3SYF
Nuanda,Shades,Single,2018,MPREb_FunMk6rvrrj
Various Artists,The House That Trane Built: The Best of Impulse Records,Album,2006,MPREb_GT2O6YL7yvt
The Greyboy Allstars,What Happened to Television?,Album,2007,MPREb_wvNezrR4wEW
The Greyboy Allstars,West Coast Boogaloo,Album,1994,MPREb_ypkrfKFZlBB
Crooked Still,Shaken By A Low Sound,Album,2006,MPREb_jDdzhyeJKgl
Crooked Still,Hop High,Album,2004,MPREb_TqjBIKeXM2d
Wood & Wire,"The Woodshed Sessions, Vol. 2",EP,2017,MPREb_PFMr4V9IrNq
Hedy West,Pretty Saro & Other Appalachian Ballads,Album,2011,MPREb_omTOcDFrnf1
Chakachas,Jungle Fever,Album,1972,MPREb_MuuRZqjwGms
Hedy West,Matty Groves,Album,1967,MPREb_EwViLFoqECb
Hedy West,Ballads,Album,1967,MPREb_tDEemnIXwj0
Féloche,Féloche & The Mandolin' Orchestra,Album,2020,MPREb_HPpMrI7AL1F
Various Artists,Moog & Sitar,Album,2011,MPREb_o4hgr4vG7Ov
TAARKA,Seed Gathering for a Winter Garden,Album,2009,MPREb_yRqhO5wo3Es
Jeff Picker,With the Bass in Mind,Album,2020,MPREb_mBEQ1LSxSaR
EOB,Earth,Album,2020,MPREb_n0FAJesh66Q
Doc Watson,Doc Watson,Album,1964,MPREb_484cLlH7eVa
Pokey LaFarge,Pokey LaFarge,Album,2011,MPREb_WZ0Fhf3DCCW
Robert Ellis & Courtney Hartman,Dear John,Album,2017,MPREb_8X8qdqfBjkC
Wood & Wire,Wood & Wire,Album,2013,MPREb_TD4sQOhWs2Z
ProleteR,Curses from Past Times EP,EP,2011,MPREb_idDWo2QMBoO
Various Artists,Isolation Therapy,Album,2020,MPREb_PxskQ8XF3m1
"Billy Strings, Don Julin",Fiddle Tune X,Album,2014,MPREb_tDesSDBe6S7
The Appleseed Collective,Live At the Ark,Album,2014,MPREb_9Ey1P64izhf
The Appleseed Collective,Baby to Beast,Album,2012,MPREb_TaSNJGymsJx
The Appleseed Collective,Antidote,Album,2020,MPREb_qfV5slnMjXi
First Aid Kit,The Lion's Roar,Album,2012,MPREb_s90FxSxuWmX
Tommy Guerrero,Sunshine Radio,Album,2021,MPREb_6T1Q8qIoiYW
"David Grisman, Tony Rice",Dawg & T (Live),Album,2017,MPREb_uPrBwk5iOTV
Tony Rice,Guitar,Album,2005,MPREb_pUn0dupXPBx
Al Green,Greatest Hits,Album,1975,MPREb_Qfsgn7VFrM9
Pink Floyd,The Early Years 1970 DEVI/ATION,Album,2016,MPREb_Vu9F55pFTUb
Particle,Transformations Live For The People,Album,2006,MPREb_6GXxGZFE0wg
Sol Ho'opi'i,"Master Of The Hawaiian Guitar, Vol. 2",Album,1987,MPREb_Vk4vQIPwonY
múm,Sing Along To Songs You Don't Know,Album,2009,MPREb_Fq1JmAD9alJ
MUM,Liquid Life,Single,2019,MPREb_OU0uu3pwJGU
Stable Shakers,Low Key,Album,2020,MPREb_1O8yXmZsS2d
Samarabalouf,Nono Future,Album,2020,MPREb_mRDuYvNSC1a
Various Artists,Poney Jungle,Album,2020,MPREb_VjWp8h2cdiH
Gala Swing Quartet,Erreur Au Wagon-Bar,Album,2017,MPREb_tM1kk2G5fYD
John Hartford,Aereo-Plain,Album,1971,MPREb_Jv8djwDmdrk
Driftwood Company,The Windwagon Soundtrack,Album,2014,MPREb_ODXBKXjIZ3H
"Aaron Jonah Lewis, Ben Belcher","Live, Mostly",Album,2017,MPREb_enIK9AjbV5b
Aaron Jonah Lewis,"Mozart of the Banjo, the Joe Morley Project",Album,2020,MPREb_Wk7t9E8FWfD
John Hartford,Turn Your Radio On,Album,2020,MPREb_zZCulrUzZil
Sturgill Simpson,"Cuttin' Grass, Vol. 2 (Cowboy Arms Sessions)",Album,2020,MPREb_ZA9XjOyyfHA
The Country Side Of Harmonica Sam,"Broken Bottle, Broken Heart",Album,2019,MPREb_1wqtKoJm9oD
Donald Byrd,Ethiopian Knights,Album,1971,MPREb_V26a9bC8s2e
Soulive,Doin' Something,Album,2001,MPREb_0WeVGM5BYQM
"Doc Watson, Merle Watson",Doc Watson On Stage,Album,1971,MPREb_mklw0rzMAm2
The Heliocentrics,Telemetric Sounds,Album,2020,MPREb_3JKRe8PTK3N
corduroy,Blomster,Single,2020,MPREb_oYKWY6Aw25b
Various Artists,Tech House Minimal Vol. 1,Album,2017,MPREb_stprgVHIowI
Gordon Haskell,The Lady Want's To Know,Album,2004,MPREb_4KOMPTl39nN
Strung Like a Horse,WHOA!,Album,2020,MPREb_03BHpAowfl5
Ween,White Pepper,Album,2000,MPREb_nV0bkwibLeQ
Yusef Lateef,"Yusef Lateef Plays Yusef Lateef, Vol. 1",Album,2020,MPREb_L4ci55ngLs8
Beaux Arts Trio,Ravel: Piano Trio in A minor/Chausson: Piano Trio in G minor,Album,1984,MPREb_fli8MZ2evNp
The Olympians,The Olympians,Album,2016,MPREb_uIvIIC0SuA4
"Byron Berline, John Hickman",Double Trouble,Album,2006,MPREb_hJSqfiaztmt
"Byron Berline, Dan Crary, John Hickman",Chambergrass,Album,2006,MPREb_GHWsbEC11pU
Byron Berline,Outrageous,Album,1980,MPREb_IzCVdAIZw3C
"Alexander Rudin, Musica Viva",Dvořák: Cello Concerto in A Major & Serenade for Strings in E Major,Album,2013,MPREb_urRfzAaWiGl
Various Artists,"Ethiopiques, Vol. 10: Ethiopian Blues & Ballads",Album,2001,MPREb_Ld1Pmuv8N0W
"Flowering Inferno, Quantic",Dog With a Rope (Quantic Presenta Flowering Inferno),Album,1900,MPREb_QRpmBQYuvGD
Grateful Dead,"Truckin' (Live at the Capitol Theatre, Port Chester, NY, 2/18/71)",Single,1971,MPREb_Wt0SrH2FMZD
Trey Anastasio,Burn It Down (Live),Album,2020,MPREb_xOYKdEXwwen
LCD Soundsystem,45:33,Album,2006,MPREb_g79s38CRO65
Soul Sugar,Chase the Light,Album,2017,MPREb_wx2S8AyAc8o
Various Artists,The Pizza Tapes,Album,2000,MPREb_pzuCl4F9itP
Benny Yurco,You Are My Dreams,Album,2020,MPREb_cIneYcRpoe4
"David Grisman, Doc Watson",Doc & Dawg (Live @ Acoustic Stage 1997),Album,2018,MPREb_7mPJT7ZYla9
Pink Floyd,The Early Years 1972 Obfusc/ation,Album,2016,MPREb_78F93Z5iriE
Norman Blake,Whiskey Before Breakfast,Album,1976,MPREb_CKHxELzlK7O
Kokoroko,KOKOROKO,EP,2019,MPREb_stsv1Sowb6p
"Coki, Loefah",Disco Rekah,Single,2007,MPREb_P14P80tePOy
Chance McCoy and The Appalachian String Band,Debut,Album,2008,MPREb_AgXvfLmtnOx
"Leo Kottke, Mike Gordon",Noon,Album,2020,MPREb_iN6FOHw5KxN
Jon Hopkins,Singularity,Album,2018,MPREb_0PK1Uql7ufV
Lotus,Free Swim,Album,2020,MPREb_7lrUHZXaNoV
Duo Gadjo and their Hot Friends,Meet me in Paris,Album,2008,MPREb_C18ap4G7Y7q
John Hartford,"Backroads, Rivers & Memories: The Rare & Unreleased John Hartford",Album,2019,MPREb_e8uRuWnVEd8
Trey Anastasio,Lonely Trip,Album,2020,MPREb_U6CQlMzFCLc
Puss N Boots,Sister,Album,2020,MPREb_w2cXTwW7ide
Red Allen,Live and Let Live,Album,1979,MPREb_vDDTMvS4lLo
Yom,With Love (feat. The Wonder Rabbis),Album,2011,MPREb_d3GmFBlZC5w
Blair Crimmins and The Hookers,Sing-a-Longs,Album,2013,MPREb_zoFbEzED16c
Various Artists,"Ethiopiques, Vol. 8: Swinging Addis 1969-1974",Album,2000,MPREb_fyfmImSdtnM
Lettuce,Resonate,Album,2020,MPREb_iVpHpZWirgg
Shotgun Jazz Band,Don't Give Up the Ship,Album,2013,MPREb_6NVkr86L4Xc
"Clem Raymond, Dick Oxtot's Golden Age Jazz Band",The Lost Clarinet of Clem Raymond,Album,1993,MPREb_6eD1orW5Ky9
RJD2,The Fun Ones,Album,2020,MPREb_WI48FEOeEys
Phish,"LivePhish, Vol. 8 7/10/99 (E Centre, Camden, NJ)",Album,2009,MPREb_EIAvrltb3Hc
Darrell Scott,Darrell Scott Sings the Blues of Hank Williams,Album,2020,MPREb_HghHWVJzIBX
Kingzeek,"Now, Open Your Eyes",Album,2020,MPREb_JVksaTEc3ul
"Brad Mehldau, Chris Thile",Chris Thile & Brad Mehldau,Album,2017,MPREb_vUiEsCPs4xE
Amon Tobin,Chaos Theory,Album,2005,MPREb_UaBAL4IMz8V
The Langley Schools Music Project,Innocence and Despair,Album,2001,MPREb_lzcPbvfTvQn
John Hartford,Steam Powered Aereo-Takes,Album,2002,MPREb_v4g53vSAdqj
"Jack DeJohnette, John Medeski, John Scofield",Hudson (feat. Larry Grenadier & Hudson),Album,2017,MPREb_3ycVSlokH20
Nicola Cruz,Prender el Alma,Album,2015,MPREb_OrEj3TLp510
Various Artists,Ultra-Lounge: Bongoland,Album,1998,MPREb_mJ7XK9YTh19
Phish,Sigma Oasis,Album,2020,MPREb_NAiangD1LLA
The Disco Biscuits,"Steele's Reels, Vol. 3: 2-6-2016 (The Fillmore, Philadelphia, PA)",Album,2017,MPREb_0nYYuEt4wMZ
Reggie Moore,Furioso,Album,2018,MPREb_zfQ3tPEz5jS
Punch Brothers,All Ashore,Album,2018,MPREb_wf77umO5c2g
The Temptations,Psychedelic Soul,Album,2003,MPREb_rBUxeirhpEg
Grateful Dead,"Road Trips Vol. 3 No. 1: Oakland Auditorium Arena, Oakland, CA 12/28/79 (Live)",Album,2009,MPREb_UT1e8fW0Jxw
Various Artists,Classic Southern Gospel from Smithsonian Folkways,Album,2005,MPREb_stG2cQk1XEv
Townes Van Zandt,"High, Low And In Between",Album,1971,MPREb_s1nWPCW6JJf
Grateful Dead,Complete Studio Albums Collection,Album,2014,MPREb_DzzQEgb5eJC
Phish,"Live Phish: 10/30/10, Boardwalk Hall, Atlantic City, NJ",Album,2011,MPREb_reqQ3Ynh5IZ
Grant Green,Goin' West,Album,2004,MPREb_UcjNe4JZHUk
Sister Rosetta Tharpe,"The Decca Singles, Vol. 1",Album,2019,MPREb_WPzNTsZH0T3
Sister Rosetta Tharpe,"The Decca Singles, Vol. 5",Album,2019,MPREb_KEzStrQ4mrz
The Oak Ridge Boys,Early Gospel Recordings,Album,2015,MPREb_FeI7wVsh5ao
Bonobo,The North Borders,Album,2013,MPREb_QGrrd7Ht3FP
Various Artists,Natural High: The Bongo Man Collection,Album,2018,MPREb_nNyrylYOTnX
Los Destellos,Sicodélicos,Album,2019,MPREb_IQNR1tdkrfY
The Heliocentrics,Infinity Of Now,Album,2020,MPREb_dEaJ2k9bAzY
The Tony Rice Unit,Manzanita,Album,1979,MPREb_UR6n0E1wuOn
Andrew Marlin,Buried In a Cape,Album,2018,MPREb_3X0hlpAi43X
Donald Byrd,Street Lady,Album,1973,MPREb_u8UQV0JS90R
The Three Suns,"1949 - 1953, Vol. 2",Album,2015,MPREb_FE0RhkN5ijd
Caleb Klauder & Reeb Willms,Innocent Road,Album,2016,MPREb_fJ3N6TGqR99
The Beatles,Sgt. Pepper's Lonely Hearts Club Band,Album,1967,MPREb_MlGHASFrLIn
Gasper Nali,Zoona Malawi,EP,2018,MPREb_isV9IkOWuro
Jeremy Garrett,Circles,Album,2020,MPREb_mGKwMFw80Cp
Tony Rice,Cold On The Shoulder,Album,1984,MPREb_cnDHS5I0r9F
Khruangbin,Hasta El Cielo (Con Todo El Mundo In Dub),Album,2019,MPREb_W6dGslTg2Yg
Jimmy McGriff,Black Pearl (Live),Album,1971,MPREb_wAvhTQuHGxt
Mulatu Astatke / The Heliocentrics,Inspiration Information 3,Album,2009,MPREb_5iHBKk11Imk
The Heliocentrics,Out There,Album,2007,MPREb_8GtT72Ak0jz
The Amazing Rhythm Aces,Stacked Deck (),Album,1975,MPREb_0dPM1KHU9Oe
Nicola Cruz,Siku Reworks,Album,2019,MPREb_K1dYf0CDreq
Various Artists,"Soulshaker, Vol. 4",Album,2007,MPREb_VNne4kW2mL3
Various Artists,Daptone Gold,Album,2009,MPREb_UkZTL0vI2Cc
T. P. Orchestre Poly-Rythmo,The Kings of Benin Urban Groove 1972-80,Album,2004,MPREb_9KQs4Snor6s
Hawktail,Formations,Album,2020,MPREb_kSzVntDsV8H
"André Ceccarelli, Diego Imbert, Enrico Pieranunzi",Monsieur Claude (A Travel with Claude Debussy),Album,2018,MPREb_W6fXTENtZny
"Michel Dalberto, Marius Constant & Ensemble Ars Nova","Satie : Cinéma, Sonnerie & Vexations (- Apex)",Album,2007,MPREb_XHu3kyqJbRW
"Booker T. & the M.G.'s, Otis Redding, The Mar-Keys",Live at the Monterey International Pop Festival,Album,2019,MPREb_cum6U04M3pI
Fats Waller,Ain't Misbehavin,Album,2014,MPREb_UqqAvDcDrNV
"Heribert Esser, Wiener Symphoniker",Paganini: Concertos for Violin and Orchestra Nos. 1 & 2,Album,1990,MPREb_9CDgjL3YBHV
Justice,Access All Arenas,Album,2013,MPREb_nnrrKBnjB16
Sharon Jones & The Dap-Kings,It's a Holiday Soul Party,Album,2015,MPREb_i2FHc9Z0NU5
Robert Barto,"Weiss: Lute Sonatas, Vol. 11",Album,2012,MPREb_bteEYqSactO
Pneumoniker,Short Stories,Album,2016,MPREb_Km61SICzceL
Lula Wiles,It's Cool,Single,2019,MPREb_QwqQZBiApWM
Woody Herman,Giant Steps,Album,1973,MPREb_p1eYgBL3PmJ
Pink Floyd,A Saucerful of Secrets,Album,1968,MPREb_nFilxkztvZG
Pink Floyd,More,Album,1969,MPREb_jSqUSP8fEjQ
Dean Martin,French Style,Album,2014,MPREb_zIWzTbju3cQ
Trio In Uno,Ipê,Album,2019,MPREb_dBxm3VLkyxw
Various Artists,Bach 333: Bach à la Jazz,Album,2018,MPREb_2WrGMzOvmFB
Robert Barto,"Weiss, S.L.: Lute Sonatas, Vol.  8  - Nos. 19, 34, 36",Album,2007,MPREb_uoHTGiN5WOq
The X-Misses,Christmas Reminiscences,Album,2018,MPREb_kGFl4JdysEI
Fugazi,13 Songs,Album,1989,MPREb_W9EVYTHez1o
Tommy Guerrero,Soul Food Taqueria,Album,2002,MPREb_jn2cTe2Zfjr
George Carlin,It's Bad For Ya,Album,2008,MPREb_gfnfGshDW7Y
George Carlin,Complaints & Grievances,Album,2001,MPREb_DaQ4fRbvJo8
Zion80,Warriors,Album,2017,MPREb_pRfDG3Fh3B5
David Grisman,The Dawg Trio,Album,2019,MPREb_RW6QdS0QbB7
Billy Strings,Home,Album,2019,MPREb_HfagDzjvzrC
Victor Furtado,Dellorto Island,Album,2018,MPREb_ypnzJBQZhWQ
Victor Furtado,Victor Furtado,Album,2014,MPREb_b39LOQvZOXs
Bluegrass Reunion,Bluegrass Reunion,Album,1992,MPREb_1K4oqmftDWb
Pierre Vassiliu,Qui C'Est Celui-La,Album,1998,MPREb_suxkqP3IfSq
David Grisman Trio,FolkJazz,Album,2012,MPREb_ZOTfGij4HEw
Tyler Childers,Country Squire,Album,2019,MPREb_HkphBbsBwg0
Luiz Bonfa,Solo in Rio 1959,Album,1959,MPREb_qBHi6XmTQH3
Various Artists,Brasil Tour Vol. 2,Album,2018,MPREb_3N4EUnL2d74
Sergio Mendes & Brasil '66,Foursider,Album,1972,MPREb_YQxdK2pdfey
Mike Gordon,The Green Sparrow,Album,2008,MPREb_qiPbMFdycoq
Charlie Byrd,Bossa Nova Pelos Passaros,Album,1992,MPREb_ZoIQxeMVMrE
Charlie Byrd,The Best of Charlie Byrd,Album,2013,MPREb_W9ZDFWDFIVQ
Grateful Dead,Europe '72 Vol. 2,Album,2011,MPREb_hR2JcE74beo
Pokey LaFarge,Riverboat Soul,Album,2010,MPREb_6s92jZ2oDmR
Studio Group,Barbershop Quartet Favorites,Album,2006,MPREb_BR2HK73YuLw
Lula Wiles,What Will We Do,Album,2019,MPREb_pk7Z3m410y0
Che Apalache,Latin Grass,Album,2017,MPREb_3ShhGa7he71
