artists,title,type,year,browseId
The Louvin Brothers,Weapon Of Prayer,Album,1962,MPREb_c8OS4EhIzu4
"Brownie McGhee, Coyal McMahan, Sonny Terry",Get on Board: Negro Folksongs by the Folkmasters,Album,1952,MPREb_dJyn59wQirY
Sonny Terry,"When He Shines, Vol. 3",Album,2008,MPREb_vPoSvfPkpm8
Bee Gees,Bee Gees 1st (Deluxe Version),Album,2006,MPREb_f7CZHE1INbP
Phish,LivePhish 04/05/98,Album,2005,MPREb_zHuSL3AWfWi
Phish,LivePhish 04/03/98,Album,2005,MPREb_8qhyQ00kwIB
Old Hack and Friends,Fossil Fool,Album,2009,MPREb_8ycAnChH9Hb
Phish,"LivePhish 2/28/03 (Nassau Coliseum, Uniondale, NY)",Album,2003,MPREb_kJHpr0LWNWJ
David Grisman,Dawg Plays Big Mon,Album,2012,MPREb_wKDUynVL77P
Phish,"PHISH: 11/22/94 Jesse Auditorium- University of Missouri, Columbia, MO (Live)",Album,2016,MPREb_poAECegfTJg
Fireside Collective,Life Between the Lines,Album,2017,MPREb_VkAvbiAc30V
The Little Willies,For The Good Times,Album,2012,MPREb_IhcW8Gqww0G
Jacques Loussier Trio,Play Bach (Les éternels - Classic songs),Album,1959,MPREb_cpmdG253szh
Bill Keith,Beating Around The Bush,Album,2006,MPREb_ZfDNohr4LJe
Jackson 5,Greatest Hits,Album,1971,MPREb_oFFeRrOj8BE
Blind Blake,Ragtime Guitar's Foremost Fingerpicker,Album,1990,MPREb_RROWi7w53Kb
Django Reinhardt,Quintette Du Hot Club De France,Album,1989,MPREb_NdugAzGGuja
Oscar Aleman,Swing Guitar Masterpieces,Album,1998,MPREb_VO8ZEzP8tDA
Tommy Guerrero,Perpetual,Album,2015,MPREb_2XJLkrg1MFu
Tommy Guerrero,Road to Knowhere,Album,2018,MPREb_YiGAksT8rwH
Filastine & Nova,Drapetomania,Album,2017,MPREb_HshENAE5XpF
Kaiju,Hunter / Snagglepuss,Single,2013,MPREb_t86lU8ulQgH
Saule & D-Operation Drop,Gorilla Glue EP,Single,2018,MPREb_OD41lRnVobn
Various Artists,Verve Remixed 2,Album,2003,MPREb_va7PSAYiPHd
Toubab Krewe,Stylo,Album,2018,MPREb_czSBFhpspvR
Karl Hector & The Malcouns,Sahara Swing,Album,2008,MPREb_DVcw2WezVlR
The Beatles,Abbey Road,Album,1969,MPREb_pyQa1mky9hE
The Beatles,Let It Be... Naked,Album,2013,MPREb_iyIYjrpW82c
Cedric Im Brooks & the Light of Saba,The Magical Light of Saba,Album,2003,MPREb_x644Jom0079
"Jethro Burns, Tiny Moore",Back To Back,Album,1979,MPREb_aK7TaFJllyj
Phish,Kasvot Växt: í rokk (Live),Album,2018,MPREb_auArdYm2HIF
Merle Haggard,20 #1 Hits,Album,2010,MPREb_uTOGATsHZ5N
Hawktail,Unless,Album,2018,MPREb_qiv5XqrD7U6
Hank Pattie & the Current,Hold Your Head up High,Album,2017,MPREb_48LmPIjxtSY
Various Artists,Ninja Tune XX (Volume 2),Album,2010,MPREb_s4nxJftFPgo
Marcel Dadi,"La guitare à Dadi, vol.2",Album,2014,MPREb_IGssidiXnKl
Various Artists,"Western Swing Classics, Vol. 4",Album,2012,MPREb_jLdTDkBT3m2
"Goodnight, Texas",Conductor,Album,2018,MPREb_veYENxZgyoQ
Dom Flemons,Black Cowboys,Album,2018,MPREb_WwRunDxa7M1
Hubby Jenkins,Hubby Jenkins,Album,2016,MPREb_wcwprze9net
Bill and the Belles,"DreamSongs, Etc.",Album,2018,MPREb_1GhPM4ynLw7
Randy Howard,I Rest My Case,Album,2006,MPREb_JF8BJLcw6UO
Chicha Libre,Sonido Amazonico,Album,2008,MPREb_9TTA29FOnOx
Pete's Posse,The Conversation,Album,2017,MPREb_ApHBEPwh5Fe
Slim Whitman,Vintage Collections,Album,1996,MPREb_KNtTMQtJdHu
Casey Driessen,3D,Album,2006,MPREb_yWImshHRzlN
Santana,Rare Santana Live,Album,2010,MPREb_cQgoCcjiRN0
A Tribe Called Quest,Midnight Marauders,Album,1993,MPREb_Pv7g0gDnrBT
Helena Hauff,Qualm,Album,2018,MPREb_cVkUzIIe5OM
Little Feat,Waiting for Columbus (Live Version; Deluxe Edition),Album,1978,MPREb_PPMgzwAGNxB
The Travelin' McCourys,The Travelin' Mccourys,Album,2017,MPREb_yTri4biUfwu
The Plate Scrapers,Dishes,EP,2017,MPREb_NoOPpBxu1AQ
The Plate Scrapers,Contact,Album,2015,MPREb_MpnNwg9vdwa
Gabor Szabo,1969,Album,1969,MPREb_gj5kl3xWKyp
Gábor Szabó,High Contrast,Album,1970,MPREb_nxh3UbeNCNd
Gabor Szabo,Dreams,Album,1968,MPREb_GwpG1hqF1Jq
Jerry Oliver,The Wood and the Spark,Album,2016,MPREb_0AbOpfJjHAz
Jerry Oliver,Believe,Album,2015,MPREb_H0erwjNPk0F
Marconi Union,Ghost Stations,EP,2016,MPREb_zgshlLOQx6O
"Max D, Maxmillion Dunbar",House of Woo,Album,2013,MPREb_afmP4ja8Cs4
Orquesta Akokán,Orquesta Akokán,Album,2018,MPREb_MsfIB2o8eh0
Mulatu Astatke,Ethio Jazz Vol. 1,Album,2006,MPREb_XwoOwBwpeNN
WITCH,Witch: We Intend to Cause Havoc!,Album,2011,MPREb_3kgT9l5NBX0
Booboo'zzz All Stars,"Studio Reggae Bash, Vol. 2",Album,2018,MPREb_XnGK3IZ3qIL
Booboo'zzz All Stars,Studio Reggae Bash,Album,2017,MPREb_q5TZnCRz5Nn
Groundation,Each One Dub One,Album,2018,MPREb_gIpsHO28PcP
Groundation,Each One Teach One (Remixed & Remastered) (feat. Ras Michael & Marcia Higgs),Album,2018,MPREb_uu7CFkNQ11E
Phish,Phish: Alpine Valley 2010,Album,2010,MPREb_bzIMRXgwQy7
Mop Mop,Isle Of Magic,Album,2013,MPREb_0gC7WLcLd9J
TAUK,Shapeshifter I: Construct,EP,2018,MPREb_Tl5FPsCfinf
Aubrey Haynie,Doin' My Time,Album,2006,MPREb_zvn0okvd2fb
Roy Smeck,Roy Smeck Plays Hawaiian Guitar,Album,2005,MPREb_KAp6Q8mzmOC
Palm Skin Productions,Fall Away EP,EP,2008,MPREb_OMqZUXPAvvQ
Clogs,Lantern,Album,2006,MPREb_z5B2RQKaqer
Silje Nes,Ames Room,Album,2007,MPREb_JT6IJuRv0bA
Four Tet,New Energy,Album,2017,MPREb_YJnz7wBBmwa
©© les Freres Smith,Free to Go,Album,2015,MPREb_IsBPU2EMiJs
Various Artists,"Music from the South, Vol. 7: Elder Songsters, 2",Album,1956,MPREb_A6niggXqz8M
"Linda McCartney, Paul McCartney",RAM,Album,1971,MPREb_sxpZZHEgmBa
Stefan Grossman,Black Melodies On A Clear Afternoon,Album,1975,MPREb_jcPIOlE1NXu
Ry Cooder,Jazz,Album,1978,MPREb_bfI62pxsoKf
Del Rey,Four and Six,Album,2012,MPREb_6sCT6RDt1Xa
Lonnie Donegan,Lonnie Live! Rare Tapes from the Late Sixties,Album,2008,MPREb_iRWjq3nv5kP
Various Artists,"Western Swing Classics, Vol. 2",Album,2012,MPREb_n4t0wMkPztq
Renato Carosone,Canta Napoli,Album,2010,MPREb_JNSCEA4gA0Z
Dinah Shore,16 Most Requested Songs,Album,1991,MPREb_ZuygjHwXnnz
Pokey LaFarge,Middle of Everywhere,Album,2011,MPREb_dgvv2C2nL3d
Jr Thomas & The Volcanos,Beware,Album,2015,MPREb_1JhmxkghbIL
John Prine,The Singing Mailman Delivers,Album,2011,MPREb_drTZHl80SkN
DJ Vadim,Dubcatcher - Instrumentals,Album,2014,MPREb_yTOFFZB51r7
Nitin Sawhney,Beyond Skin,Album,1999,MPREb_vjrUgtsue45
Grateful Dead,"Dick's Picks Vol. 34: Community War Memorial, Rochester, NY 11/5/77 (Live)",Album,2009,MPREb_a1ebkTzakNc
The Natural Yogurt Band,The 13 Moons of Neptune / Satelites,Single,2017,MPREb_Y3pgfKG6THo
22-Pistepirkko,Big Lupu,Album,1992,MPREb_NeH7LkWvI7a
Ali Kuru,Egzotik,Album,2017,MPREb_W87ucdhkGTv
Nicola Cruz,Espiritu,Single,2017,MPREb_S1gDX9vPPF7
Various Artists,A Tribute To John Hartford (Live From Mountain Stage),Album,2018,MPREb_EurdCJdAePZ
Vulfpeck,Fugue State,EP,2014,MPREb_DaB7xBIAKCO
LCD Soundsystem,LCD Soundsystem,Album,2005,MPREb_QmAHMGCWTIf
Sons of Pitches,Sons of Pitches,Album,2016,MPREb_QFXHOiucqa7
Willie Watson,"Folksinger, Vol. 2",Album,2017,MPREb_XawcOsWss8Z
Various Artists,100 Vintage Hawaiian Songs,Album,2012,MPREb_Eg94H8Vr9cN
Bill Frisell,Nashville,Album,1997,MPREb_ZwaoADfeNgM
"David Grisman, Doc Watson",Doc & Dawg,Album,1997,MPREb_hCkNptkIyaY
Perez Prado,"The Perez Prado Collection, Vol. 3",Album,2011,MPREb_WkMEqOWztHQ
Perez Prado,My Roberta,Album,2009,MPREb_tNSXLzQOgtP
Biosphere,Shenzhou,Album,2017,MPREb_sISWClBKuNX
Biosphere,The Petrified Forest,EP,2017,MPREb_ohazNj85ZYC
Air,Moon Safari,Album,1998,MPREb_n2c7cMLeLVP
David Raksin,Classic Film Scores: Laura/Forever Amber/The Bad and the Beautiful,Album,2011,MPREb_iECn7yRp7jk
Bill Mullarky,Pop Cliches,Album,2017,MPREb_Pe8vlouqL2h
Bill Mullarky,Mando Tambo Mellow Banjo,Album,2016,MPREb_KoAAl8N7NYY
10 Ft. Ganja Plant,10 Deadly Shots Vol. III,Album,2014,MPREb_SlpdsD7TinC
Rémi Panossian Trio,Morning Smile,Album,2017,MPREb_rGYhG0tYibN
"Antonio Vivaldi, The English Concert, Trevor Pinnock",Vivaldi: Concertos,Album,2001,MPREb_Mdbfgy7zADX
Billy Strings,Turmoil & Tinfoil,Album,2017,MPREb_W5uhPhlKugm
Ethan Larsh,Ethan Larsh Breaks Hearts,Album,2017,MPREb_bAYzrJbxxJX
Causa Sui,Return to Sky,Album,2016,MPREb_E9V7X5yGxOZ
Causa Sui,Vibraciones Doradas,Album,2017,MPREb_g8zDwnpOxID
Phish,LivePhish 11/14/95,Album,2015,MPREb_7pQxkLYObGd
Lefty Frizzell,The One and Only Lefty Frizzell,Album,1959,MPREb_4e3qtzvrsjU
Keith Jarrett,J. S. Bach: The French Suites,Album,1993,MPREb_IKI7e6S07Hv
Various Artists,The Best of Trojan Classic Reggae Vol. 1,Album,2015,MPREb_FcO7pvcXykV
The Hot Seats,Live!,Album,2011,MPREb_yt4tdknjORa
Wu-Tang,The Saga Continues,Album,2017,MPREb_03OeISChz9B
Gene Autry,Back in the Saddle Again,Album,2008,MPREb_mMjaZFQOyE3
Nick Drake,Digital Box Set,Album,2010,MPREb_VanRxh1JM3I
Bill and the Belles,Swallowtail Coat the Cylinder Recordings,Album,2017,MPREb_py2638jea9b
Daft Punk,Homework,Album,1996,MPREb_dMHztPsrDgN
Diazpora,Islands,Album,2017,MPREb_lyIMNwDpEuj
Mocky,Key Change,Album,2015,MPREb_jP27C5Atugk
Armel Dupas,Upriver,Album,2015,MPREb_1ApqQkF18iP
Beno,Beat Heaven,Album,2015,MPREb_vlJa6ORqlgG
Various Artists,Droppin' Science,Album,2008,MPREb_81QQDOG3FCn
Michel Haumont,Héritage,Album,2014,MPREb_3EDUVDGZ8MX
Bonobo,Recurring - The Live Sessions EP,EP,2005,MPREb_j4i8sCEc7db
"Cut Chemist, Keb Darge",Keb Darge & Cut Chemist Present the Dark Side: 28 Sixties Garage Punk and Psyche Monsters,Album,2017,MPREb_WeuTveZIt9z
The Down Hill Strugglers,Home Recordings: Vol. 1,Album,2013,MPREb_OrUdIV3Lr70
Corn Potato String Band,Good Job Everybody,Album,2016,MPREb_B4NtT8rgzrG
Hot 8 Brass Band,On the Spot,Album,2017,MPREb_zoOSukNslhi
Porter Wagoner,The Thin Man from West Plains,Album,2015,MPREb_QbKyTl7dsRy
Corn Potato String Band,Corn Potato String Band,Album,2014,MPREb_bGjV2pH8aC6
Corn Potato String Band,"Corn Potato String Band, Vol. Two",Album,2015,MPREb_74XheOlcwWd
Corn Potato String Band,Put on Your Old Grey Bonnet,Album,2016,MPREb_2ysddrx1uyu
Chris Pandolfi,Looking Glass,Album,2009,MPREb_0wcM4GI9DVR
Avi Avital,Bach,Album,2012,MPREb_5Mv6dOy24JA
Avi Avital,Vivaldi,Album,2015,MPREb_plGxZ2DMeSk
Avi Avital,Between Worlds,Album,2014,MPREb_Gdm9o2MR8tn
Various Artists,Latin Boogaloo Holy Grail 45,Single,2014,MPREb_m8GkhTBayzu
Dub Colossus,A Town Called Addis,Album,2008,MPREb_x6JxeWHEywB
Grateful Dead,Cornell 5/8/77 (Live),Album,2017,MPREb_0zkTiw03V77
Ondatrópica,Ondatrópica,Album,2012,MPREb_cOhPzYyxNA5
Dengue Fever Presents,Dengue Fever presents Electric Cambodia,Album,2010,MPREb_9vPyGvuadMq
Man About a Horse,Man About a Horse,Album,2017,MPREb_QQBzTog7ocI
John Scofield,That's What I Say,Album,2005,MPREb_sTPGF9icRfg
Chicha Libre,Canibalismo,Album,2012,MPREb_1IZvycE8Swo
El Michels Affair,Return To The 37th Chamber,Album,2017,MPREb_qkbubO5m0SN
Beso Negro,Burn It Down,Album,2013,MPREb_tcooTdKzxBT
Jazz Is Phsh,He Never Spoke a Word,Album,2017,MPREb_63jCitt0gRL
"Chris Thile, Edgar Meyer, J.S. Bach, Yo-Yo Ma",Bach Trios,Album,2017,MPREb_3XQkcIYiA9C
Ned Luberecki,Take Five,Album,2017,MPREb_slSTi1hW9iw
Tchavolo Schmitt Quartet,Mélancolies d'un soir,Album,2014,MPREb_qWcsnqvlZaU
Julian Lage & Chris Eldridge,Mount Royal,Album,2017,MPREb_We9vjzhGRxF
Noam Pikelny,Universal Favorite,Album,2017,MPREb_PtGAJkFqhN1
Various Artists,The Best of Trojan Soul Reggae Vol. 1,Album,2015,MPREb_GLTYv6Uthpp
Various Artists,The Best of Trojan Reggae Vol. 1,Album,2015,MPREb_KgkrTThJvz7
"Lee ""Scratch"" Perry",Trojan Classics,Album,2014,MPREb_RBKQN8V3XDy
Desmond Dekker,Trojan Classics,Album,2014,MPREb_XFtmuENwjHI
David Wax Museum,Guesthouse,Album,2015,MPREb_Qal0OpGrw3N
David Wax Museum,Everything Is Saved,Album,2011,MPREb_NRSlaj1Ajuh
The Infamous Stringdusters,Laws Of Gravity,Album,2017,MPREb_YBpf3Q1Cu4Q
Shulman,Endless Rhythms of the Beatless Heart,Album,,MPREb_aqcr64Rp1e6
Wings That Buzz,Every Pretty Thing,Album,2016,MPREb_Q6nA9SAyG6H
RJD2,Magnificent City Instrumentals,Album,2008,MPREb_k4TnzZ3YfTG
Belleruche,Turntable Soul Music,Album,2007,MPREb_tUzkYvBjIkq
Strength In Numbers,Telluride Sessions,Album,1989,MPREb_klBZ6SJCAKo
Various Artists,"Nostalgia 77's One Offs, Remixes & B-sides",Album,2009,MPREb_hsM8BMafDjx
Pink Floyd,The Early Years 1967-1972 Cre/ation,Album,2016,MPREb_P1huCR7WQEK
Wood & Wire,"The Woodshed Sessions, Vol. 1",EP,2014,MPREb_cCpQHxEoxNW
Wood & Wire,The Coast,Album,2015,MPREb_OU2eJiNyOWW
Pert Near Sandstone,Discovery of Honey,Album,2016,MPREb_RPnHlWAGlnk
Poldoore,Street Bangerz Volume 6: Playhouse,Album,2012,MPREb_wiWwEeTJRGA
Akshin Alizadeh,Sicilian Message,Album,2012,MPREb_4upPp3w3BsE
Akshin Alizadeh,Street Bangerz Volume 8,Album,2014,MPREb_bSueN0y0eE4
The Floozies,Do Your Thing,Album,2015,MPREb_jmOWwxsBWez
Galt MacDermot,The Nucleus,Album,2014,MPREb_kVgD9Juebx9
Michna,Magic Monday,Album,2008,MPREb_LHfxcf0EKEb
Tycho,Epoch,Album,2016,MPREb_wnQ3HWTzITq
Vulfpeck,The Beautiful Game,Album,2016,MPREb_S1uKhZPd75w
GRiZ,Good Will Prevail,Album,2016,MPREb_1LrxuMF6M6x
"Norman Blake, Tony Rice",Norman Blake & Tony Rice 2,Album,1990,MPREb_U3ID46kylLV
"Norman Blake, Tony Rice",Blake & Rice,Album,1987,MPREb_gh2NsiBXYOH
Bob Marley & The Wailers,Kaya - Deluxe Edition,Album,1978,MPREb_D7HswpXK5Qv
El Michels Affair,Loose Change,Album,2016,MPREb_piduMt65AD4
Cricket Tell the Weather,Tell the Story Right,Album,2016,MPREb_SHG7y2QY2YU
Various Artists,Soul Jazz Records Presents Venezuela 70: Cosmic Visions of a Latin American Earth: Venezuelan Experimental Rock in the 1970S,Album,2016,MPREb_epIkUdlOLrr
Vulfpeck,Thrill of the Arts,Album,2015,MPREb_XIEDgRSggXs
"Hot Club de Norvège, Jimmy Rosenberg",Django's Tiger (feat. Andreas Öberg),Album,2003,MPREb_MwFBWuoMAzn
Wood & Wire,Live at the Historic Scoot Inn,Album,2016,MPREb_PZEuClVGS68
Hot Club of San Francisco,Yerba Buena Bounce,Album,2012,MPREb_FFueGnFj99y
Karl Hector & The Malcouns,Can't Stand the Pressure,Album,2015,MPREb_cW1R0Uz4Nuy
Blitzen Trapper,All Across This Land,Album,2015,MPREb_zEBbYW5r0FM
RJD2,Since We Last Spoke: Deluxe,Album,2009,MPREb_lokRPpqPjQF
Del McCoury Band,Del & Woody,Album,2016,MPREb_fueI1PGLGh4
Csókolom,May I Kiss Your Hand,Album,1998,MPREb_q31UwvIrTD9
"Up, Bustle & Out","Light 'Em Up, Blow 'Em Out",Album,1997,MPREb_3cqBsJi2I3W
Union Specific,Diesel Engines and Kerosene Visions,Album,2013,MPREb_eS39lnmBZXs
Union Specific,Howlin' Room,Album,2015,MPREb_TFktYpnRlcg
Phish,Live at Madison Square Garden New Year's Eve 1995,Album,2005,MPREb_aeO9y1KXnnq
The New Mastersounds,Live in San Francisco,Album,2009,MPREb_8BbA6fYXOke
"Fennesz, King Midas Sound",Edition 1,Album,2015,MPREb_qr1XbbVXUdJ
The Lil Smokies,The Lil Smokies,Album,2013,MPREb_3PEu4Brs8sn
Tosca,Dehli 9,Album,2003,MPREb_yQsOqC9gzlI
General Elektriks,Good City For Dreamers,Album,2009,MPREb_V8E3lm3tdmc
Cabinet,This Is Cabinet: Set 2,Album,2013,MPREb_j1QLH1bLTF9
Joseph Spence,"Joseph Spence: The Complete Folkways Recordings, 1958",Album,1992,MPREb_WmfwK2BRVrx
Punch Brothers,The Wireless,EP,2015,MPREb_GZ0ZPVcViH1
Roaring Lion,Calypso Island Greats Of The 1930s,Album,2011,MPREb_n5boeu1PQlT
El Michels Affair,Enter The 37th Chamber,Album,2009,MPREb_WaW9sNFB7rz
The Holy Modal Rounders,Good Taste Is Timeless,Album,1971,MPREb_tK0kPY5FYoh
DJ Vadim,Dubcatcher,Album,2014,MPREb_6jrrmgWnrF3
The Herbaliser,Herbal Tonic (Best Of),Album,2010,MPREb_PueJCnRRnAV
Eskmo,Eskmo,Album,2010,MPREb_UBPluywq9rn
Wagon Christ,Toomorrow,Album,2011,MPREb_F7RTyReplGM
DJ Yoda Presents: Breakfast Of Champions,DJ Yoda Presents: Breakfast of Champions,Album,2015,MPREb_PfWBnCUDIUZ
DJ Yoda,How To Cut and Paste- The Thirties Edition,Album,2009,MPREb_ED0yb8eI1rK
Chris Thile,How To Grow A Woman From The Ground,Album,2006,MPREb_dX8ZraWdeDO
Marian Hill,Sway,Album,2015,MPREb_AXbNQy8EPPA
GRiZ,Say It Loud,Album,2015,MPREb_BN8NE1WM8yu
Hot Club of Philadelphia,Wrap Your Troubles in Dreams,Album,2010,MPREb_EG5FJVY0xQ0
Tony Rice,Tony Rice,Album,1977,MPREb_HI3eroLvOya
Pokey LaFarge,Something In The Water,Album,2015,MPREb_aixxQSckr7D
Taarka,Making Tracks Home,Album,2015,MPREb_BwNl0oIoKlI
"Andy Statman, David Grisman",Songs Of Our Fathers,Album,1995,MPREb_pYvKAPTKoHd
Paul Simon,Paul Simon,Album,1972,MPREb_IppigD42eGq
Punch Brothers,The Phosphorescent Blues,Album,2015,MPREb_tCcZZXVxB1D
Crooked Still,Crooked Still (Live),Album,2009,MPREb_zLhSdbY119N
Kalob Griffin Band,June Found a Gun,Album,2012,MPREb_xwx9AIq0FAD
Taarka,Adventures in Vagabondia,Album,2013,MPREb_OhBE8r2ny6x
Ween,Chocolate and Cheese,Album,1994,MPREb_GXXcCK1w1xo
Chatham County Line,Tightrope,Album,2014,MPREb_CG5WgfrxrbS
Johnny Cash,The Christmas Spirit,Album,1963,MPREb_VjFZgdLE7p2
Phish,"LivePhish, Vol. 4 6/14/00 (Drum Logos, Fukuoka, Japan)",Album,2001,MPREb_RbpFHrzdeZL
The Touré-Raichel Collective,The Tel Aviv Session (feat. Idan Raichel & Vieux Farka Touré),Album,2012,MPREb_kKKcsgt5EgZ
"Grisman,Rice,Greene,Keith,Phillips",Live in Japan 76,Album,2010,MPREb_lMcnA0q422Z
Treva Whateva,Music's Made Of Memories,Album,2005,MPREb_GIpggBA2dU5
Mr. Scruff,Ninja Tuna,Album,2008,MPREb_xk2MrymZlTw
"Big Lazy, Stephen Ulrich",Postcards from X,Album,2007,MPREb_m5mlsQR4wJW
Grateful Dead,Complete Live Rarities Collection,Album,2013,MPREb_xiQv7mWH9UJ
Julian Lage & Chris Eldridge,Avalon,Album,2014,MPREb_EvtMmDSlGMj
The Appleseed Collective,Young Love,Album,2014,MPREb_pdropRcFKaT
The Devil Makes Three,Do Wrong Right,Album,2009,MPREb_vLctQAmVC6B
Vitamin String Quartet,VSQ Performs Phish,Album,2004,MPREb_e1o6W0w9ogD
"Abigail Washburn, Béla Fleck",Béla Fleck & Abigail Washburn,Album,2014,MPREb_BGRerah6Cci
"Kenneth ""Jethro"" Burns",Bye Bye Blues,Album,1997,MPREb_c6fLAnGvFQi
Punch Brothers,Ahoy!,EP,2012,MPREb_ANkFOx1JGyG
Scott Bradlee's Postmodern Jukebox,Historical Misappropriation,Album,2014,MPREb_KlH6m6Soyju
Sam Bush,Ice Caps: Peaks Of Telluride,Album,2000,MPREb_4x9VXptDWfQ
"David Grisman, Del McCoury",Del & Dawg,Album,2012,MPREb_zG99nigcPwS
Blind Willie McTell,The Ultimate Collection,Album,2009,MPREb_7jPUvuBgzyY
Tim O'Brien,Red On Blonde,Album,2006,MPREb_Y5GvSsuErqb
Phutureprimitive,Searching for Beauty in the Darkest Places Pt. 1,EP,2013,MPREb_hudJ9XBSluY
Doc Watson,Old Timey Concert,Album,1967,MPREb_c5gltcxuc3f
Blind Boy Paxton,Dirtiest Little Darling / Railroad Bill,Single,2012,MPREb_gfXdVt7P9tW
Rising Appalachia,Filthy Dirty South,Album,2012,MPREb_kzYhzu4iAuX
Penguin Cafe Orchestra,"Preludes, Airs And Yodels (A Penguin Cafe Primer)",Album,1996,MPREb_JwrFKir1ChS
Django Django,Django Django,Album,2012,MPREb_IvNyENnVpWg
Phish,Fuego,Album,2014,MPREb_bH07aJ35GFk
Tony Rice,The Bill Monroe Collection,Album,2012,MPREb_KG9NXdxvaI6
Kruger Brothers,Remembering Doc Watson,Album,2013,MPREb_l5GZ0KpB8rH
Cedric Watson et Bijou Créole,Creole Moon: Live from the Blue Moon Saloon,Album,2010,MPREb_gCzgiYpcZ9c
Phish,"LivePhish, Vol. 3 9/14/00 (Darien Lake Peforming Arts Center, Darien Center, NY)",Album,2001,MPREb_jj8mztnezuF
The TurtleDuhks,True Lover,Album,2007,MPREb_4HoraMX5Pkd
Chris Thile,"Bach: Sonatas and Partitas, Vol. 1",Album,2013,MPREb_mQfDYbTZ2jj
Phish,"Live Phish: 8/13/10 Verizon Wireless Music Center, Noblesville, IN",Album,2011,MPREb_MXXlMYHsoQv
Various Artists,True Life Blues: The Songs Of Bill Monroe,Album,1996,MPREb_rhfYz30xKzE
Various Artists,Classic Mountain Songs from Smithsonian Folkways,Album,2002,MPREb_tBfX62VgK90
The Foghorn Stringband,Outshine The Sun,Album,2012,MPREb_lzpxAUST9pR
Tune-Yards,W H O K I L L,Album,2011,MPREb_rGtiHpydOFW
Various Artists,"The Ultimate Collection, Vol. 1",Album,2010,MPREb_XMEBSk9mN8D
Various Artists,Trojan Reggae Sisters Collection,Album,2009,MPREb_ehTDHO6MYyD
Various Artists,Trojan Skinhead Reggae Collection,Album,2009,MPREb_nh58ks8cllX
Supertramp,Even In The Quietest Moments,EP,1977,MPREb_8XjS5hgQw1J
"Johann Sebastian Bach, Judith Norell, Linda Wetherill",Bach for Flute & Harpsichord,Album,2009,MPREb_pdbDV46BCc8
Lana Del Rey,Born To Die,Album,2012,MPREb_22IaufBRIzt
Floodwood,This Is Life,Album,2013,MPREb_B6iAodp86jo
Locust Honey String Band,He Ain't No Good,Album,2012,MPREb_DJ7v92veP5c
Bryan Sutton,Not Too Far From The Tree,Album,2006,MPREb_eYipksOPLpK
"Frank Wakefield, Red Allen",The Kitchen Tapes,Album,1994,MPREb_I3L8SNhCkwM
Various Artists,"Part of Your History, The Songs of John Hartford",Album,2005,MPREb_OjzJqp3j0nP
Shpongle,Museum of Consciousness,Album,2013,MPREb_afA67I4Kagz
The Dustbowl Revival,Carry Me Home,Album,2013,MPREb_gfIu9hnZGPJ
Doc Watson,The Definitive,Album,2013,MPREb_7JqeNzXLBkr
Charley Patton,Rough Guide to Charley Patton,Album,2012,MPREb_tDRwcWCSz9u
Keller & The Keels,Thief,Album,2010,MPREb_gAigm6nsjv0
Bill Monroe,Uncle Pen - Live,Album,2009,MPREb_yiHOEPDRRyC
